# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6218
#@/user_id	archlinux
a 	啊	c=6 d=0.914247 t=6218
na hai 	那還	c=1 d=1.65783e-06 t=6218
na jiu 	那就	c=1 d=0.909373 t=6218
na tai 	那臺	c=2 d=0.00020461 t=6218
na wo 	那我	c=1 d=0.163714 t=6218
na wo bei pian le 	那我被騙了	c=1 d=0.000614317 t=6218
na xie 	哪些	c=1 d=1 t=6145
na xing 	那行	c=1 d=0.612626 t=6218
na yang 	那樣	c=1 d=0.358796 t=6218
nan 	男	c=2 d=0.133695 t=6218
nan shou 	難受	c=1 d=0.467666 t=6218
nan xing 	男性	c=2 d=0.134001 t=6218
nao zi 	腦子	c=2 d=0.0203754 t=6218
ne 	呢	c=3 d=1.54576 t=6218
nei 	內	c=0 d=0.00581342 t=6218
nei bu 	內部	c=1 d=0.00164502 t=6218
nei cun 	內存	c=13 d=4.278 t=6218
nei rong 	內容	c=8 d=1.02023 t=6218
nei zhi 	內置	c=1 d=0.00752142 t=6218
neng 	能	c=5 d=0.490432 t=6218
neng ba 	能把	c=1 d=1 t=5912
neng gou 	能夠	c=1 d=1 t=6119
neng kan dao 	能看到	c=1 d=0.843665 t=6218
neng li 	能力	c=1 d=0.0106734 t=6218
neng xuan 	能選	c=1 d=2.6e-06 t=6218
ni 	你	c=10 d=1.54976 t=6218
ni cai 	你猜	c=1 d=0.0157644 t=6218
ni de 	你的	c=2 d=0.669185 t=6218
ni fa de a 	你發的啊	c=1 d=0.0098528 t=6218
ni hao 	你好	c=1 d=1.52274e-06 t=6218
ni men 	你們	c=1 d=0.165299 t=6218
ni xing 	逆行	c=1 d=0.115325 t=6218
ni yao 	你要	c=1 d=0.0843665 t=6218
ni yao lai ne 	你要來呢	c=1 d=0.847894 t=6218
ni zhe ge 	你這個	c=1 d=4.31857e-05 t=6218
ni zhi dao 	你知道	c=1 d=0.597501 t=6218
nie 	捏	c=1 d=3.20756e-06 t=6218
nin de 	您的	c=4 d=0.0184084 t=6218
nong 	弄	c=6 d=0.41533 t=6218
nong chu lai 	弄出來	c=1 d=0.000696112 t=6218
nong de 	弄得	c=1 d=0.000113353 t=6218
nong diu le 	弄丟了	c=1 d=0.00484407 t=6218
nong hao 	弄好	c=1 d=0.0463013 t=6218
nu xing 	奴性	c=0 d=0.00898153 t=6218
nv 	女	c=1 d=0.0925506 t=6218
nv xing 	女性	c=3 d=0.00925086 t=6218
o 	哦	c=3 d=0.876643 t=6218
o o 	哦哦	c=7 d=1.03896 t=6218
pa 	怕	c=2 d=0.975456 t=6218
pa ru 	爬入	c=1 d=1.56129e-06 t=6218
pai 	拍	c=0 d=0.00347353 t=6218
pai cha 	排查	c=1 d=0.00442715 t=6218
pai chu 	排除	c=1 d=0.0944202 t=6218
pai hang bang 	排行榜	c=1 d=1 t=5961
pai la ji dui 	拍垃圾堆	c=1 d=0.0349094 t=6218
pai xu 	排序	c=2 d=0.328561 t=6218
pan 	盤	c=2 d=0.857789 t=6218
pan duan 	判斷	c=4 d=0.186785 t=6218
pan kong 	判空	c=2 d=0.782356 t=6218
pan kong 	盤空	c=1 d=0.150318 t=6218
pao 	跑	c=2 d=0.000410093 t=6218
pao chu 	拋出	c=1 d=0.246597 t=6218
pao dao 	跑到	c=1 d=0.946485 t=6218
pei ta 	陪她	c=0 d=1.70803e-05 t=6218
pei ta wan 	陪她玩	c=1 d=0.000171659 t=6218
pei zhi 	配置	c=30 d=2.23208 t=6218
pi 	皮	c=1 d=0.423162 t=6218
pi gu tong 	屁股痛	c=1 d=0.0987662 t=6218
pi liang 	批量	c=7 d=5.3313 t=6218
pi neng 	俾能	c=1 d=1.64956e-06 t=6218
pi pei 	匹配	c=21 d=5.30156 t=6218
pian gao 	偏高	c=1 d=1 t=6092
pian ni 	騙你	c=1 d=0.0163259 t=6218
pian yi 	偏移	c=2 d=0.54807 t=6218
piao 	票	c=0 d=0.014808 t=6218
piao yi 	漂移	c=0 d=0.00564161 t=6218
piao yi dao 	漂移到	c=1 d=0.0566989 t=6218
pin xie 	拼寫	c=6 d=0.0767643 t=6218
pin zhuang 	拼裝	c=1 d=0.268474 t=6218
ping jun 	平均	c=1 d=0.00130051 t=6218
ping mu 	屏幕	c=2 d=0.473869 t=6218
ping mu hang 	屏幕行	c=1 d=0.00133343 t=6218
ping tai 	平臺	c=3 d=0.0135685 t=6218
pu tong ren 	普通人	c=1 d=0.00292342 t=6218
qi 	器	c=6 d=1.12019 t=6218
qi 	騎	c=0 d=0.0955997 t=6218
qi ba 	七八	c=0 d=0.0362402 t=6218
qi che 	汽車	c=1 d=7.03228e-06 t=6218
qi che 	騎車	c=1 d=7.06753e-06 t=6218
qi dai 	期待	c=1 d=0.000437252 t=6218
qi dian dong che 	騎電動車	c=1 d=0.960789 t=6218
qi dong 	啓動	c=4 d=0.982345 t=6218
qi jian 	期間	c=1 d=0.0614212 t=6218
qi nei 	其內	c=0 d=0.00561347 t=6218
qi nei rong 	其內容	c=1 d=0.0564161 t=6218
qi qi guai guai 	奇奇怪怪	c=1 d=0.737123 t=6218
qi qu 	奇趣	c=1 d=0.000426457 t=6218
qi shi 	其實	c=1 d=9.85447e-05 t=6218
qi ta 	其他	c=10 d=1.6519 t=6218
qi tong 	期銅	c=1 d=0.0376283 t=6218
qi yong 	啓用	c=7 d=0.206844 t=6218
qian 	前	c=4 d=0.390045 t=6218
qian dao 	簽到	c=1 d=0.086965 t=6218
qian dao ji 	簽到機	c=4 d=0.3946 t=6218
qian duan 	前端	c=11 d=1.63607 t=6218
qian duan fu wu 	前端服務	c=1 d=0.0261214 t=6218
qian hou 	前後	c=0 d=4.07761e-07 t=6218
qian hou duan 	前後端	c=1 d=0.14808 t=6218
qian hou tai 	前後太	c=1 d=4.09805e-06 t=6218
qian liang 	前兩	c=0 d=0.000790705 t=6218
qian liang wei 	前兩爲	c=1 d=0.00794669 t=6218
qian lie xian 	前列腺	c=1 d=0.102284 t=6218
qian mian 	前面	c=3 d=0.702125 t=6218
qian shi 	前十	c=4 d=3.43814 t=6098
qian zhui 	前綴	c=1 d=0.336216 t=6218
qiang 	牆	c=1 d=1.56129e-06 t=6218
qiang de 	強的	c=0 d=0.1 t=6010
qiang de hen 	強的很	c=1 d=1 t=6011
qiang li 	強力	c=2 d=0.443325 t=6218
qiang zhi 	強制	c=3 d=0.00256259 t=6218
qie 	且	c=3 d=0.00166711 t=6218
qie 	切	c=1 d=0.00216572 t=6218
qie fen 	切分	c=0 d=8.37572e-05 t=6218
qie fen cheng 	且分成	c=1 d=0.000837572 t=6218
qie fen cheng 	切分成	c=1 d=0.000841771 t=6218
qie huan 	切換	c=3 d=0.303383 t=6218
qie huan ruo 	切換若	c=1 d=0.279431 t=6218
qie mian 	切面	c=2 d=0.105928 t=6218
qin 	親	c=2 d=0.815155 t=6218
qin le 	親了	c=0 d=0.000214417 t=6218
qin qin ni 	親親你	c=1 d=0.00218749 t=6218
qing 	情	c=3 d=0.00436518 t=6218
qing chu 	清除	c=1 d=1.83662e-05 t=6218
qing hua 	清華	c=1 d=0.0948935 t=6218
qing jia 	請假	c=3 d=0.256661 t=6218
qing kong 	清空	c=1 d=0.965605 t=6218
qing kuang 	情況	c=3 d=0.815592 t=6218
qing li 	清理	c=1 d=0.0724398 t=6218
qing lian xi 	請聯繫	c=1 d=0.00603608 t=6218
qing qing 	輕輕	c=1 d=0.00467746 t=6218
qing qiu 	請求	c=21 d=1.35166 t=6218
qing qiu can shu 	請求參數	c=1 d=0.054204 t=6218
qing qiu fang fa 	請求方法	c=1 d=0.0672055 t=6218
qing qiu tou 	請求頭	c=1 d=4.49482e-05 t=6218
qing zhuang shang zhen 	輕裝上陣	c=1 d=7.13856e-06 t=6218
qiong ren 	窮人	c=1 d=0.00133343 t=6218
qiu 	球	c=1 d=0.477114 t=6218
qu 	區	c=1 d=0.000833397 t=6218
qu 	去	c=3 d=0.897312 t=6218
qu 	取	c=2 d=1.12412e-05 t=6218
qu chu 	去除	c=4 d=0.187687 t=6218
qu chu 	取出	c=1 d=0.000413853 t=6218
qu dong 	驅動	c=1 d=0.142987 t=6218
qu fen 	區分	c=1 d=0.00130703 t=6218
qu jian 	區間	c=1 d=0.0014018 t=6218
quan bu wei 	全部爲	c=1 d=0.427415 t=6218
quan ju 	全局	c=1 d=0.00406639 t=6218
quan pin 	全拼	c=1 d=0.000678925 t=6218
quan xian 	權限	c=10 d=0.672508 t=6218
que dian 	缺點	c=1 d=2.22668e-06 t=6218
que ding 	確定	c=1 d=0.000145549 t=6218
que shao 	缺少	c=1 d=0.00190171 t=6218
que shi 	確實	c=1 d=0.00019549 t=6218
ran qi 	燃氣	c=1 d=0.755784 t=6218
rang 	讓	c=1 d=0.00125577 t=6218
rang ta 	讓他	c=1 d=0.00012909 t=6218
re 	熱	c=3 d=0.487068 t=6218
re shui 	熱水	c=1 d=0.729789 t=6218
ren 	人	c=5 d=0.030851 t=6218
ren gong 	人工	c=2 d=0.00501661 t=6218
ren lian 	人臉	c=28 d=1.9735 t=6218
ren lian qian dao ji 	人臉簽到機	c=1 d=0.0153752 t=6218
ren shi 	認識	c=4 d=0.369724 t=6218
ren shui 	人誰	c=1 d=0.726149 t=6218
ren wu 	任務	c=1 d=0.0692522 t=6218
ren yi 	任意	c=1 d=0.0441572 t=6218
ren yuan 	人員	c=25 d=0.94359 t=6218
ren yuan lei xing 	人員類型	c=1 d=0.121846 t=6218
ren zheng 	認證	c=7 d=0.0169795 t=6218
ren zheng lei xing 	認證類型	c=1 d=0.00336274 t=6218
ren zheng shi bai 	認證失敗	c=1 d=0.00348252 t=6218
ri chang 	日常	c=1 d=0.04573 t=6218
ri me 	日麼	c=1 d=0.000934964 t=6218
ri xing 	日型	c=1 d=0.904837 t=6218
ri zhi 	日誌	c=15 d=1.16413 t=6218
rong 	容	c=0 d=0.0121028 t=6218
rong qi 	容器	c=4 d=0.0983513 t=6218
rong qi ming cheng 	容器名稱	c=1 d=0.0199405 t=6218
ru 	入	c=1 d=0.0337087 t=6218
ru ci 	如此	c=2 d=1.39946 t=6218
ru guo 	如果	c=5 d=1.46628 t=6218
ru he 	如何	c=2 d=1.21119 t=6201
ru xia 	如下	c=1 d=1 t=5968
ruan jian 	軟件	c=1 d=0.000578542 t=6218
rui rui 	芮芮	c=1 d=0.00848038 t=6218
ruo 	若	c=3 d=0.653548 t=6218
sai ru 	塞入	c=0 d=0.0798516 t=6218
san 	三	c=2 d=0.369963 t=6218
san fen 	三分	c=1 d=0.0229371 t=6218
san wei 	三位	c=1 d=0.00856123 t=6218
sao miao 	掃描	c=0 d=1.60468e-06 t=6218
se tu 	色圖	c=1 d=0.00729913 t=6218
sha 	啥	c=3 d=0.754535 t=6218
sha zi 	傻子	c=1 d=0.000645814 t=6218
sha zi 	啥子	c=1 d=0.000642592 t=6218
shan 	刪	c=1 d=0.000345679 t=6218
shan chu 	刪除	c=38 d=7.15694 t=6218
shan chu jie kou 	刪除接口	c=1 d=0.955997 t=6218
shan diao 	刪掉	c=2 d=0.00116624 t=6218
shan diao le 	刪掉了	c=1 d=0.000558643 t=6218
shan le 	刪了	c=1 d=0.491644 t=6218
shang 	上	c=8 d=0.827496 t=6218
shang ce suo 	上廁所	c=0 d=0.00992613 t=6218
shang chuan 	上傳	c=1 d=1 t=6151
shang ci 	上次	c=8 d=1.0855 t=6218
shang ke 	上課	c=3 d=0.40657 t=6218
shang ke ba 	上課吧	c=1 d=0.463013 t=6218
shang men 	上門	c=1 d=0.70822 t=6218
shang mian 	上面	c=7 d=4.13217 t=6160
shang ping 	上屏	c=1 d=1 t=6204
shang shu 	上述	c=1 d=1 t=6039
shang xia wen 	上下文	c=1 d=0.0096577 t=6218
shang xian 	上限	c=2 d=0.0116203 t=6218
shang yi ci 	上一次	c=1 d=0.506617 t=6218
she 	設	c=1 d=0.551563 t=6218
she bei 	設備	c=97 d=16.4746 t=6218
she hui 	社會	c=1 d=0.106992 t=6218
she ji 	設計	c=4 d=0.0146607 t=6218
she shi du 	攝氏度	c=2 d=0.42662 t=6218
she tuan 	社團	c=2 d=0.0209845 t=6218
she xiang tou 	攝像頭	c=1 d=0.0228227 t=6218
she zhi 	設置	c=7 d=2.81515 t=6218
shen 	沈	c=1 d=0.227638 t=6218
shen fen 	身份	c=1 d=0.00414754 t=6218
shen fen hao ma 	身份號碼	c=1 d=0.0121552 t=6218
shen fen zheng 	身份證	c=3 d=0.179061 t=6218
shen fen zheng hao 	身份證號	c=3 d=0.308632 t=6218
shen gou 	申購	c=0 d=0.00214936 t=6218
shen he 	審覈	c=0 d=0.0145148 t=6218
shen me 	什麼	c=6 d=0.309199 t=6218
shen me dong xi 	什麼東西	c=1 d=0.00951391 t=6218
shen qi 	神奇	c=1 d=0.367879 t=6218
shen ru 	深入	c=1 d=0.0049667 t=6218
shen shang 	身上	c=1 d=0.00667091 t=6218
shen zhi 	甚至	c=1 d=0.970446 t=6218
sheng chan 	生產	c=3 d=0.0705849 t=6218
sheng cheng 	生成	c=1 d=0.0287246 t=6218
sheng ji 	升級	c=2 d=0.684784 t=6218
sheng ka 	聲卡	c=3 d=1.73007 t=6218
sheng ming 	生命	c=1 d=0.0167392 t=6218
sheng pi 	生僻	c=0 d=0.164156 t=6218
sheng pi zi 	生僻子	c=1 d=0.822835 t=6218
sheng pi zi 	生僻字	c=2 d=1.69632 t=6218
sheng yin 	聲音	c=1 d=0.852144 t=6218
shi 	使	c=1 d=1 t=6163
shi 	式	c=1 d=0.137381 t=6218
shi 	是	c=31 d=2.44762 t=6218
shi 	時	c=24 d=2.06016 t=6218
shi ba 	是吧	c=2 d=0.380024 t=6218
shi bai 	失敗	c=7 d=0.0701964 t=6218
shi bu shi 	是不是	c=2 d=0.000201921 t=6218
shi de 	是的	c=2 d=0.348192 t=6218
shi du 	溼度	c=2 d=0.386992 t=6218
shi fou 	是否	c=18 d=0.691139 t=6218
shi ge 	十個	c=1 d=1 t=5999
shi hou 	時候	c=5 d=0.420271 t=6218
shi ji 	實際	c=2 d=0.064894 t=6218
shi ji hang 	實際行	c=1 d=0.00134683 t=6218
shi jian 	事件	c=14 d=3.74142 t=6218
shi jian 	時間	c=27 d=3.56422 t=6218
shi jian chuo 	時間戳	c=1 d=0.00465413 t=6218
shi jian duan 	時間段	c=1 d=0.00477195 t=6218
shi li dai ma 	示例代碼	c=1 d=0.024234 t=6218
shi liu jin zhi 	十六進制	c=1 d=0.0468877 t=6218
shi pin 	視頻	c=2 d=0.470147 t=6218
shi qi 	使其	c=1 d=1 t=6113
shi qi 	時期	c=1 d=0.00193045 t=6218
shi shen me 	是什麼	c=3 d=0.896818 t=6218
shi shi 	實時	c=6 d=1.51711 t=6218
shi shi zhi 	實時值	c=2 d=0.755667 t=6218
shi shuo 	是說	c=2 d=0.0214116 t=6218
shi ti 	實體	c=0 d=0.00154523 t=6218
shi ti lei 	實體類	c=8 d=0.20025 t=6218
shi ti li 	是體力	c=1 d=0.0490458 t=6218
shi ting hao de 	是挺好的	c=1 d=0.000435072 t=6218
shi wo 	是我	c=2 d=0.497941 t=6218
shi wu 	事務	c=1 d=0.000478431 t=6218
shi xian 	實現	c=4 d=0.234206 t=6218
shi xiao 	失效	c=2 d=0.427415 t=6218
shi yong 	使用	c=24 d=0.81616 t=6218
shi yong 	實用	c=2 d=0.0283352 t=6218
shi yong lv 	使用率	c=1 d=1 t=5918
shi yong yu 	適用於	c=1 d=0.000457378 t=6218
shi zhe yang 	是這樣	c=1 d=0.301194 t=6218
shou 	手	c=1 d=0.000186888 t=6218
shou dong 	手動	c=3 d=0.392586 t=6218
shou gan 	手感	c=1 d=0.000190664 t=6218
shou ji 	手機	c=1 d=0.158817 t=6218
shou ji 	收集	c=1 d=0.0160272 t=6218
shou quan 	授權	c=43 d=8.88035 t=6218
shou quan ji lu 	授權記錄	c=1 d=0.190139 t=6218
shou quan shi jian 	授權時間	c=1 d=0.298197 t=6218
shou ru 	收入	c=2 d=0.00259597 t=6218
shou shang 	受傷	c=1 d=0.000204275 t=6218
shou zhi 	手指	c=1 d=0.0012684 t=6218
shou zhong 	手中	c=1 d=0.00126207 t=6218
shu 	數	c=2 d=0.042055 t=6218
shu biao 	鼠標	c=2 d=0.000205748 t=6218
shu chu 	輸出	c=4 d=2.56097 t=6218
shu ci xing 	數磁性	c=1 d=0.0357931 t=6218
shu fu 	舒服	c=1 d=0.927743 t=6218
shu fu xie 	舒服寫	c=1 d=0.000199439 t=6218
shu jing 	豎井	c=0 d=1.11955e-06 t=6218
shu jing shi 	豎井時	c=1 d=1.12516e-05 t=6218
shu ju 	數據	c=27 d=2.47222 t=6218
shu ju biao 	數據表	c=1 d=0.0391639 t=6218
shu ju ku 	數據庫	c=31 d=1.42177 t=6218
shu ju ku ming 	數據庫名	c=7 d=0.584275 t=6218
shu ru de 	輸入的	c=1 d=1 t=6208
shu ru fa 	輸入法	c=4 d=1.91678 t=6218
shu xing 	屬性	c=2 d=0.423162 t=6218
shu xing 	樹形	c=3 d=1.43352 t=6218
shu xing jie gou 	樹形結構	c=1 d=0.425283 t=6218
shu xu guan 	鼠鬚管	c=7 d=3.00105 t=6218
shu xue 	數學	c=1 d=0.00142298 t=6218
shu xun 	書訊	c=1 d=0.00140882 t=6218
shu yu 	屬於	c=1 d=2.78852e-06 t=6218
shu zi 	數字	c=8 d=1.03803 t=6218
shua 	刷	c=0 d=0.0157237 t=6218
shua shou ji 	刷收集	c=1 d=0.158025 t=6218
shua xin 	刷新	c=2 d=0.292293 t=6218
shuang 	雙	c=0 d=0.0941765 t=6218
shuang ji 	雙機	c=3 d=0.0774635 t=6218
shuang pin 	雙拼	c=6 d=0.00604432 t=6218
shuang xi tong 	雙系統	c=1 d=2.66582e-06 t=6218
shuang xian ka 	雙顯卡	c=1 d=0.946485 t=6218
shuang xiang 	雙向	c=1 d=0.00251621 t=6218
shuang zhu 	雙主	c=1 d=0.0284388 t=6218
shui 	誰	c=0 d=0.0715338 t=6218
shui hou 	睡後	c=2 d=0.00245555 t=6218
shui jiao 	睡覺	c=2 d=0.00290904 t=6218
shui xing 	睡醒	c=1 d=0.932394 t=6218
shun xu 	順序	c=3 d=0.00384903 t=6218
shuo de 	說的	c=1 d=5.93188e-05 t=6218
shuo ming 	說明	c=1 d=0.421052 t=6218
shuo ming shu 	說明書	c=1 d=0.0944202 t=6218
shuo shi 	說是	c=1 d=0.000581442 t=6218
si 	四	c=2 d=0.373682 t=6218
si 	死	c=0 d=0.00297478 t=6218
song 	宋	c=1 d=5.77146e-05 t=6218
song 	送	c=2 d=0.503408 t=6218
song hua fei 	送話費	c=1 d=0.249075 t=6218
sou bu dao 	搜不到	c=1 d=0.97531 t=6218
sou tong 	搜同	c=2 d=0.193138 t=6218
su du 	速度	c=3 d=0.722527 t=6218
suan 	算	c=1 d=1 t=6109
suan fa 	算法	c=1 d=0.0591555 t=6218
suan shang 	算上	c=1 d=0.0520787 t=6218
suan shu 	算數	c=1 d=0.609571 t=6218
suan shu 	算術	c=0 d=0.0609571 t=6218
suan shu yun suan 	算術運算	c=1 d=0.612627 t=6218
suan zai 	算在	c=1 d=0.878095 t=6218
suo jin 	縮進	c=3 d=0.00771181 t=6218
suo yi 	所以	c=3 d=0.000620491 t=6218
suo yin 	索引	c=3 d=0.000164082 t=6218
suo you 	所有	c=13 d=2.13637 t=6218
ta 	他	c=2 d=0.0010358 t=6218
ta 	她	c=2 d=0.930816 t=6218
ta ba 	她把	c=0 d=0.00175975 t=6218
ta ba yu 	她把魚	c=1 d=0.0176857 t=6218
ta de 	他的	c=1 d=2.24906e-06 t=6218
ta de 	她的	c=1 d=0.000665481 t=6218
ta fa de 	他發的	c=1 d=0.0104099 t=6218
ta hui 	她會	c=1 d=0.0200405 t=6218
ta men 	他們	c=8 d=0.704688 t=6218
ta zai 	她在	c=0 d=0.00183156 t=6218
ta zai gan ma ne 	她在幹嘛呢	c=1 d=0.0184074 t=6218
ta zhen de 	她真的	c=1 d=0.0295994 t=6218
tai 	太	c=1 d=0.204948 t=6218
tai 	臺	c=1 d=4.11859e-06 t=6218
tai duo 	太多	c=1 d=0.327915 t=6218
tai lei le 	太累了	c=1 d=0.000169951 t=6218
tai mang 	太忙	c=0 d=0.0798516 t=6218
tai mang le 	太忙了	c=1 d=0.802519 t=6218
tai shu fu 	太舒服	c=1 d=1 t=5907
tai shuang la 	太爽啦	c=1 d=0.995012 t=6218
tai shuang le 	太爽了	c=1 d=1 t=5937
tan chu shi 	彈出式	c=1 d=0.00822975 t=6218
tan tou 	探頭	c=1 d=0.481909 t=6218
tao lun 	討論	c=1 d=9.02962e-06 t=6218
tao yan 	討厭	c=1 d=0.45612 t=6218
te shu 	特殊	c=1 d=2.95331e-05 t=6218
te xing 	特性	c=0 d=3.37144e-05 t=6218
te yi 	特意	c=1 d=6.68931e-06 t=6218
te zheng 	特徵	c=0 d=0.008291 t=6218
ti 	睇	c=1 d=0.00236968 t=6218
ti 	題	c=1 d=0.000337144 t=6218
ti 	體	c=1 d=0.00238156 t=6218
ti gao 	提高	c=2 d=0.00951686 t=6218
ti gong 	提供	c=4 d=0.045275 t=6218
ti gong fu wu 	提供服務	c=2 d=0.087152 t=6218
ti huan 	替換	c=14 d=5.23307 t=6218
ti jiao 	提交	c=3 d=0.66034 t=6218
ti li 	體力	c=0 d=0.00488012 t=6218
ti zi 	梯子	c=1 d=1.97489e-06 t=6218
tian 	天	c=1 d=0.0728029 t=6218
tian chong 	填充	c=1 d=1.45925e-05 t=6218
tian de 	填的	c=1 d=7.71314e-05 t=6218
tian hua 	天花	c=1 d=1.71245e-05 t=6218
tian jia 	添加	c=27 d=3.27465 t=6218
tian man 	填滿	c=2 d=0.0208459 t=6218
tian xia 	天下	c=1 d=0.0972958 t=6218
tiao 	條	c=2 d=0.0189711 t=6218
tiao 	跳	c=3 d=0.23457 t=6218
tiao dao 	調到	c=1 d=0.00210172 t=6218
tiao dao 	跳到	c=1 d=0.00211226 t=6218
tiao guo 	跳過	c=1 d=5.42225e-06 t=6218
tiao hui 	跳回	c=1 d=0.00173803 t=6218
tiao jian 	條件	c=8 d=0.284119 t=6218
tiao shu 	條數	c=3 d=0.118467 t=6218
tiao wen 	條文	c=0 d=0.00109436 t=6218
tiao wen xin xi 	條文信息	c=1 d=0.0109985 t=6218
tiao zhe 	跳着	c=2 d=0.00186406 t=6218
tiao zheng 	調整	c=5 d=0.41609 t=6218
tiao zheng wei 	調整爲	c=2 d=0.029845 t=6218
tiao zhi 	跳至	c=1 d=0.247833 t=6218
tiao zhuan 	跳轉	c=33 d=0.980464 t=6218
tie bing 	鐵餅	c=0 d=0.000708341 t=6218
ting che 	停車	c=0 d=0.000571306 t=6218
ting che chang 	停車場	c=1 d=0.00506703 t=6218
ting che shi jian 	停車時間	c=1 d=0.0057417 t=6218
ting dao 	聽到	c=1 d=0.0205478 t=6218
ting guo 	聽過	c=1 d=0.408608 t=6218
ting hao de 	挺好的	c=0 d=4.32902e-05 t=6218
ting yong 	停用	c=2 d=0.00427603 t=6218
tong 	同	c=1 d=0.0992615 t=6218
tong bu 	同步	c=13 d=3.66753 t=6218
tong bu shu ju 	同步數據	c=1 d=0.0290133 t=6218
tong guo 	通過	c=12 d=1.22207 t=6218
tong ji 	統計	c=7 d=0.339595 t=6218
tong ji shu ju 	統計數據	c=1 d=0.0366992 t=6218
tong ming 	同名	c=1 d=1 t=6121
tong xin 	通信	c=1 d=0.0294518 t=6218
tong yi 	統一	c=7 d=1.92454 t=6218
tong yi ge 	同一個	c=2 d=0.000125912 t=6218
tong yong 	通用	c=1 d=0.755784 t=6218
tong zhi 	通知	c=7 d=3.07954 t=6218
tou 	頭	c=0 d=4.4724e-06 t=6218
tou guang 	透光	c=1 d=0.000523486 t=6218
tu 	圖	c=2 d=0.319838 t=6218
tu biao 	圖標	c=4 d=2.40424 t=6218
tu li 	圖裏	c=0 d=8.1086e-06 t=6218
tu pian 	圖片	c=11 d=0.331396 t=6218
tu xing jie mian 	圖形界面	c=1 d=0.138761 t=6218
tuan dui 	團隊	c=1 d=0.131994 t=6218
tui chu 	推出	c=1 d=0.43171 t=6218
tui chu 	退出	c=2 d=0.883207 t=6218
tui ge 	退格	c=2 d=0.00181014 t=6218
tui jian 	推薦	c=1 d=0.715338 t=6218
tui song 	推送	c=2 d=0.000137611 t=6218
tuo feng 	駝峯	c=0 d=0.0289384 t=6218
tuo zhan 	拓展	c=1 d=0.00729913 t=6218
wai 	外	c=2 d=0.99005 t=6218
wai bu 	外部	c=1 d=0.00673795 t=6218
wai guan 	外觀	c=1 d=1.6169e-06 t=6218
wai jie 	外接	c=3 d=2.33219 t=6218
wai jie 	外界	c=1 d=0.980199 t=6218
wai wai 	歪歪	c=4 d=2.66154 t=6218
wai wai de 	歪歪地	c=1 d=0.000898307 t=6218
wai wai wai 	歪歪外	c=1 d=0.000485661 t=6218
wai wan dang 	外玩當	c=1 d=0.0953692 t=6218
wai wang 	外網	c=1 d=0.927743 t=6218
wai wei 	外圍	c=1 d=1.56911e-06 t=6218
wan 	完	c=2 d=0.257991 t=6218
wan 	玩	c=1 d=0.810584 t=6218
wan bi 	完畢	c=0 d=0.00079467 t=6218
wan bi hou 	完畢後	c=1 d=0.00798655 t=6218
wan cheng 	完成	c=3 d=0.332871 t=6218
wan ju 	玩具	c=1 d=0.923116 t=6218
wan le 	完了	c=1 d=0.927743 t=6218
wan le 	玩了	c=1 d=0.932394 t=6218
wan quan 	完全	c=2 d=0.0207442 t=6218
wan shan 	完善	c=4 d=0.0240836 t=6218
wan shang 	晚上	c=1 d=0.913931 t=6218
wan wai 	玩外	c=1 d=1.53037e-06 t=6218
wan zheng 	完整	c=3 d=0.443079 t=6218
wang 	王	c=1 d=3.09724e-06 t=6218
wang bin 	王斌	c=4 d=0.13068 t=6218
wang le 	忘了	c=3 d=5.06438e-06 t=6218
wang su 	網速	c=3 d=2.91727 t=6179
wang xian 	網線	c=1 d=1.87857e-06 t=6218
wang ye 	網頁	c=0 d=0.0158026 t=6218
wei 	位	c=1 d=0.00798652 t=6218
wei 	偉	c=1 d=0.0280154 t=6218
wei 	未	c=3 d=0.0102549 t=6218
wei 	爲	c=31 d=1.76474 t=6218
wei bu 	尾部	c=1 d=0.0617291 t=6218
wei cha 	未查	c=0 d=0.000980362 t=6218
wei cha dao 	未查到	c=1 d=0.00985279 t=6218
wei chu shi hua 	爲初始化	c=1 d=2.65893e-05 t=6218
wei deng lu 	未登錄	c=1 d=1.33366e-05 t=6218
wei fu 	微服	c=0 d=0.0239525 t=6218
wei fu wu 	微服務	c=6 d=0.12307 t=6218
wei fu wu 	微服無	c=1 d=0.117655 t=6218
wei fu wu 	爲服務	c=1 d=0.117068 t=6218
wei hu 	維護	c=1 d=0.680451 t=6218
wei kong 	爲空	c=1 d=0.418952 t=6218
wei shen me 	爲什麼	c=2 d=1.72615 t=6076
wei ting 	違停	c=1 d=0.116484 t=6218
wei yi 	唯一	c=2 d=4.16907e-05 t=6218
wei zhi 	位置	c=12 d=1.73901 t=6218
wei zhi 	未知	c=1 d=0.0939491 t=6218
wei zhi 	爲止	c=1 d=0.0934804 t=6218
wei zhi ding 	未指定	c=1 d=0.433874 t=6218
wen 	問	c=1 d=0.315058 t=6218
wen 	文	c=3 d=0.526046 t=6218
wen ben 	文本	c=7 d=0.42517 t=6218
wen ben hang 	文本行	c=4 d=0.0383684 t=6218
wen dang 	文檔	c=3 d=0.0396192 t=6218
wen dang zhong 	文檔中	c=1 d=0.0374406 t=6218
wen du 	溫度	c=3 d=0.599966 t=6218
wen jian 	文件	c=22 d=2.77403 t=6218
wen jian ge shi 	文件格式	c=1 d=0.0135009 t=6218
